Time (s),Pack Current (A),Mode,Cell 1 Voltage (V),Cell 1 SoC (%),Cell 1 Balancing Active,Cell 2 Voltage (V),Cell 2 SoC (%),Cell 2 Balancing Active,Cell 3 Voltage (V),Cell 3 SoC (%),Cell 3 Balancing Active,Cell 4 Voltage (V),Cell 4 SoC (%),Cell 4 Balancing Active
72,1.5,CC,3.5570000000000004,16.200000000000067,0.0,3.5147448979591838,11.22448979591835,0.0,3.595735294117647,21.17647058823529,0.0,3.530096774193549,13.209677419354895,0.0
73,1.5,CC,3.5571666666666673,16.216666666666736,0.0,3.5149149659863945,11.241496598639438,0.0,3.5958496732026144,21.192810457516337,0.0,3.530264784946237,13.226478494623715,0.0
74,1.5,CC,3.557333333333334,16.233333333333402,0.0,3.5150850340136057,11.258503401360526,0.0,3.5959640522875818,21.20915032679738,0.0,3.530432795698925,13.243279569892533,0.0
75,1.5,CC,3.5575000000000006,16.25000000000007,0.0,3.5152551020408165,11.275510204081614,0.0,3.596078431372549,21.22549019607843,0.0,3.5306008064516137,13.26008064516135,0.0
76,1.5,CC,3.5576666666666674,16.266666666666737,0.0,3.5154251700680272,11.292517006802703,0.0,3.596192810457516,21.241830065359473,0.0,3.5307688172043017,13.27688172043017,0.0
77,1.5,CC,3.557833333333334,16.283333333333406,0.0,3.5155952380952384,11.30952380952379,0.0,3.5963071895424834,21.25816993464052,0.0,3.53093682795699,13.293682795698988,0.0
78,1.5,CC,3.5580000000000007,16.30000000000007,0.0,3.515765306122449,11.326530612244879,0.0,3.5964215686274508,21.274509803921564,0.0,3.531104838709678,13.310483870967808,0.0
79,1.5,CC,3.558166666666667,16.31666666666674,0.0,3.51593537414966,11.343537414965967,0.0,3.596535947712418,21.29084967320261,0.0,3.531272849462366,13.327284946236626,0.0
80,1.5,CC,3.558333333333334,16.333333333333407,0.0,3.5161054421768707,11.360544217687055,0.0,3.5966503267973855,21.307189542483655,0.0,3.5314408602150547,13.344086021505444,0.0
81,1.5,CC,3.5585000000000004,16.350000000000076,0.0,3.516275510204082,11.377551020408143,0.0,3.596764705882353,21.323529411764703,0.0,3.5316088709677427,13.360887096774263,0.0
